keyword,keyword_num_documents
water,21699
taking,21691
gerald,21673
heard,21601
players,21584
higher,21567
enough,21563
jdasovic,21562
building,21533
sandra,21524
louise,21521
kitchen,21499
bruce,21463
francisco,21424
join,21368
confirm,21354
hard,21342
different,21314
large,21311
release,21277
course,21271
cal,21269
upon,21251
palmer,21202
color,21176
revised,21166
sheila,21137
latest,21126
website,21116
attend,21098
rogers,21091
security,21082
unsubscribe,21069
proposal,21062
parties,21058
bring,21054
tracy,21046
fund,21008
east,20994
late,20993
nov,20986
7bitx,20971
consumers,20968
neal,20966
paid,20932
standard,20925
physical,20889
never,20879
canada,20861
approved,20764
sempra,20760
delete,20755
lot,20753
brent,20734
bass,20732
understand,20728
specific,20726
five,20722
janet,20712
coming,20613
individual,20605
cut,20604
summary,20570
although,20560
afternoon,20556
earlier,20538
patrick,20535
facility,20530
hunter,20525
won,20515
saturday,20499
central,20478
clear,20467
manager,20421
sce,20407
julie,20403
finance,20321
anderson,20256
paper,20232
respond,20218
southern,20197
random,20186
fact,20143
operation,20141
changed,20124
requested,20115
average,20081
users,20063
ago,20058
necessary,20056
groups,19977
gray,19969
russell,19925
cindy,19914
officials,19897
slinger,19883
entity,19864
filing,19861
else,19808
held,19735
retail,19717
tell,19690
bills,19593
turn,19536
lower,19528
bid,19524
allow,19494
skilling,19475
copies,19460
pacific,19454
sender,19399
existing,19350
air,19347
rules,19321
become,19319
brad,19290
local,19279
along,19274
clark,19247
outside,19214
otherwise,19212
presentation,19199
charge,19171
helvetica,19158
traders,19113
trades,19073
though,19043
directly,19035
farmer,19012
lewis,19006
listed,18997
recently,18997
act,18995
concerns,18956
pdf,18955
floor,18945
lynn,18925
operating,18919
nsf,18885
senate,18870
scheduling,18864
jay,18857
christopher,18826
equity,18800
gilbert,18752
king,18732
experience,18732
funds,18728
analyst,18675
sue,18674
andrea,18662
ann,18655
school,18633
oct,18626
filed,18590
save,18506
kenneth,18487
side,18482
offers,18471
india,18471
feedback,18458
guys,18446
software,18437
ted,18394
family,18327
securities,18324
efforts,18272
pricing,18268
melissa,18265
height,18264
td2,18220
leave,18218
away,18194
stacey,18190
model,18169
happy,18138
post,18124
kaufman,18099
role,18068
senior,18067
items,18060
head,18056
script,18044
strong,18026
belden,18010
completed,17994
accounting,17990
agree,17973
closed,17969
matter,17968
bradford,17967
enrononline,17966
growth,17930
always,17831
round,17769
largest,17755
futures,17738
sullivan,17715
works,17713
independent,17581
looks,17573
officer,17521
field,17506
corporation,17489
focus,17486
thompson,17472
partners,17467
campbell,17460
united,17456
results,17451
chance,17440
responsible,17435
prohibited,17410
facilities,17396
lead,17386
certain,17370
paso,17344
rice,17332
solberg,17322
ensure,17313
puc,17287
article,17226
symes,17222
lavorato,17200
begin,17148
story,17146
debra,17136
user,17134
bryan,17125
dbcaps97data,17122
application,17118
sorry,17116
commodity,17115
cheryl,17092
doesn,17086
private,17073
hearing,17052
hotel,17051
disclosure,17035
nemec,17032
rebecca,17000
contain,16996
vkamins,16958
requirements,16924
20and,16915
life,16908
communication,16888
wants,16865
positions,16799
answer,16759
presto,16738
pass,16720
maria,16715
messages,16696
sold,16688
former,16660
epmi,16659
xls,16655
expect,16655
cents,16637
effort,16625
announced,16614
angeles,16602
includes,16599
projects,16591
meyers,16586
geir,16577
activities,16576
longer,16555
wall,16553
barbara,16531
require,16530
ahead,16511
tony,16505
ready,16492
western,16491
feb,16489
shirley,16457
lenhart,16455
attachments,16454
wish,16453
went,16450
src,16448
reported,16435
thing,16407
opportunities,16400
sheet,16396
log,16385
counsel,16378
taken,16285
appropriate,16234
holiday,16219
confirmation,16218
plus,16218
idea,16215
near,16210
trader,16182
training,16172
significant,16170
cover,16162
follows,16116
morgan,16111
outlook,16096
country,16085
material,16079
tanya,16077
rather,16049
yes,16038
clair,16027
seen,16024
sharon,16016
spot,15991
nytimes,15982
lines,15967
across,15963
hernandez,15939
roger,15926
server,15900
loss,15900
murphy,15877
agency,15875
units,15871
settlement,15867
young,15831
img,15831
statement,15826
planning,15809
code,15787
hear,15783
region,15778
buying,15775
agent,15773
fred,15720
password,15713
amy,15711
drew,15706
among,15699
randy,15692
starting,15684
elink,15675
peak,15660
economic,15659
deregulation,15626
active,15615
20to,15588
situation,15570
200,15533
events,15523
judy,15508
bad,15506
charges,15501
linder,15487
enter,15465
personal,15462
ray,15427
ron,15414
organization,15409
cook,15409
brenda,15408
nancy,15403
minutes,15387
analysts,15378
involved,15375
strategy,15367
half,15336
reason,15309
wilson,15305
correct,15293
tickets,15268
neil,15258
htm,15245
juan,15233
nymex,15228
attorney,15207
todd,15175
computer,15157
named,15151
maureen,15143
usa,15113
couple,15109
meetings,15103
volumes,15093
test,15061
notify,15059
worth,15026
grid,15001
structure,14995
electronic,14987
example,14984
assistance,14968
behalf,14956
location,14953
comment,14952
source,14923
hain,14910
jane,14899
light,14895
christi,14895
carolyn,14888
shankman,14881
build,14880
diego,14857
university,14855
weekly,14844
hold,14840
ever,14833
haedicke,14828
appreciate,14806
lunch,14800
conditions,14799
preferred,14758
calendar,14742
cap,14739
fyi,14728
bracepatt,14712
ability,14711
seems,14670
came,14665
earthlink,14659
pat,14635
word,14633
means,14632
created,14614
dollars,14571
pager,14563
novosel,14552
consider,14547
authority,14536
kind,14512
provides,14509
sager,14491
reporting,14456
remain,14427
memo,14424
hartsoe,14417
walker,14413
therefore,14410
dennis,14404
advise,14397
coal,14392
various,14383
wood,14352
debbie,14327
car,14322
annual,14316
took,14313
middle,14281
baughman,14275
names,14268
fall,14244
makes,14236
six,14235
adams,14218
jean,14213
garcia,14212
stay,14181
kingerski,14178
participants,14163
watson,14159
whalley,14151
selling,14136
justin,14134
everything,14132
los,14129
stop,14107
industrial,14101
transportation,14101
maybe,14075
balance,14073
reliantenergy,14069
beginning,14062
executed,14050
flow,14040
bailey,14008
green,13979
nothing,13975
mcconnell,13971
session,13963
asset,13955
mmbtu,13934
delainey,13928
investments,13916
20in,13915
sources,13902
associated,13898
212,13882
running,13879
construction,13876
actually,13875
property,13860
robertson,13857
remember,13850
respect,13793
talking,13761
areas,13758
fine,13755
collins,13739
lost,13727
deleted,13721
default,13712
swap,13686
political,13668
monika,13652
arnold,13637
media,13633
previous,13629
care,13626
bgcolor,13604
issued,13602
investor,13581
simply,13555
socalgas,13555
causholli,13535
reference,13526
suzanne,13518
threadsx,13516
angela,13484
cynthia,13484
leaf,13465
owned,13451
bpa,13443
sending,13443
llc,13440
man,13407
moving,13373
revenue,13354
trip,13322
dick,13321
unless,13315
internal,13296
monthly,13291
met,13282
denne,13274
force,13248
rating,13245
douglas,13224
paula,13185
reuters,13184
participate,13176
terry,13176
peggy,13176
profit,13154
quick,13145
client,13141
dana,13125
style,13117
dale,13116
solution,13102
county,13037
vacation,13034
ward,13023
derivatives,13021
robinson,13012
discussions,13008
instead,12954
environmental,12954
dates,12905
card,12897
initial,12862
select,12854
mentioned,12847
alias,12842
similar,12839
miles,12825
meter,12824
determine,12809
haven,12800
wolfe,12774
newsletter,12773
worked,12773
submitted,12770
present,12767
providing,12753
fee,12749
understanding,12745
occurred,12745
true,12733
wright,12712
mccubbin,12703
calls,12692
jonathan,12678
daren,12668
books,12663
moran,12658
venture,12656
posted,12653
nicolay,12651
harasin,12648
dinner,12644
written,12643
rto,12634
bond,12628
stanley,12626
economy,12591
print,12583
activity,12580
live,12573
approach,12567
apply,12542
curry,12534
main,12532
develop,12531
smtp,12530
managing,12529
variances,12506
broadband,12496
jackson,12490
barry,12489
7bitbcc,12468
increased,12457
cell,12443
gets,12442
sean,12427
reserve,12401
span,12399
savings,12394
pretty,12381
appears,12377
published,12374
manage,12374
receiving,12359
hughes,12357
directors,12352
competitive,12346
effect,12346
portfolio,12343
blackouts,12328
solutions,12325
income,12320
rest,12320
files,12319
mean,12317
technical,12312
stocks,12304
telephone,12298
rod,12297
input,12295
friends,12272
comnes,12261
record,12255
bowen,12248
itemsx,12227
jpg,12221
howard,12218
contained,12203
diane,12196
strictly,12191
detected,12189
single,12186
series,12169
prepared,12154
stacy,12151
confirmed,12150
van,12141
approximately,12114
benefit,12101
gmssr,12100
levels,12091
quality,12081
thoughts,12064
boyd,12035
pre,12014
player,12008
requests,12007
mind,12001
bonds,11994
affairs,11983
jack,11954
beth,11954
clean,11951
download,11938
donald,11931
agenda,11924
offered,11915
remove,11915
spoke,11902
located,11900
suggested,11895
saying,11894
prc,11887
orders,11883
reduce,11878
dear,11863
kathleen,11860
space,11856
reliant,11852
rodriguez,11851
quickly,11848
carter,11847
reach,11843
drive,11839
diamond,11836
assignment,11835
tariff,11820
sole,11808
pool,11807
chicago,11799
resume,11763
leading,11763
consumer,11758
applications,11742
heather,11730
competition,11726
caiso,11726
giron,11722
pst,11713
aware,11707
relevant,11697
indicated,11692
christian,11684
anne,11680
merger,11676
austin,11666
sharp,11664
legislation,11659
kent,11654
box,11652
counterparties,11651
alex,11648
rule,11643
red,11642
hodge,11642
foster,11635
dabhol,11608
judge,11606
budget,11604
raised,11592
caps,11589
sitara,11567
jeremy,11564
started,11552
winter,11551
japan,11551
veronica,11536
perform,11532
fixed,11513
regulators,11504
entities,11501
win,11492
fossum,11482
marie,11481
impacted,11468
entire,11459
crude,11417
hourahead,11405
allowed,11403
fun,11398
ebs,11369
fares,11368
messaging,11354
advance,11349
clearing,11341
stewart,11340
suite,11333
interview,11330
grant,11322
3490,11316
sec,11316
equipment,11312
gordon,11308
european,11307
hit,11288
comes,11285
rose,11283
tjones,11281
authorized,11278
terri,11275
meredith,11263
jose,11258
learn,11257
attention,11236
expense,11215
spacer,11215
vote,11200
core,11196
cera,11194
engine,11182
voice,11175
phil,11160
robin,11156
stuart,11141
drop,11127
commerce,11122
purchases,11119
reached,11115
practice,11112
opinion,11110
ene,11107
foreign,11105
diana,11103
normal,11068
success,11050
evening,11038
write,11034
lloyd,11033
termination,11024
responsibility,11017
profits,11016
choice,11015
step,11013
wind,11011
marty,11000
ticket,10999
columbia,10995
base,10972
decided,10964
delivered,10953
community,10948
unable,10934
emergency,10933
critical,10928
wayne,10909
jbryson,10897
whole,10897
programs,10892
blair,10888
previously,10883
spokesman,10877
attempting,10873
isn,10872
almost,10865
payments,10862
track,10837
hot,10837
fool,10833
ces,10811
evidence,10808
hpl,10801
firms,10801
range,10776
format,10768
insurance,10751
hand,10749
benefits,10737
links,10727
300,10711
1400,10709
rita,10694
addressed,10691
calif,10683
mckay,10659
fast,10649
assume,10646
unknown,10624
actual,10599
study,10599
target,10596
yards,10576
entered,10575
watch,10573
register,10561
concern,10559
package,10538
richardson,10534
hill,10520
resolution,10518
fees,10515
provider,10504
cathy,10501
sector,10500
difficult,10485
easy,10466
wed,10463
goes,10448
pdavis1,10445
description,10442
division,10433
serve,10421
talked,10419
friend,10408
stage,10401
official,10396
mkt_type,10386
trans_type,10386
spread,10384
suggest,10375
progress,10373
executives,10371
maggi,10371
liz,10369
limit,10365
bert,10341
teresa,10339
procedures,10323
funding,10319
perhaps,10303
front,10302
sans,10302
600,10302
led,10278
lawyer,10278
carlos,10271
suppliers,10268
confidentiality,10263
receipt,10262
northwest,10262
takes,10252
park,10251
20of,10241
ideas,10237
finally,10227
shows,10213
association,10212
availability,10211
awarded,10208
especially,10203
gift,10202
moved,10199
attachment,10199
sc_id,10195
trans_date,10192
katherine,10186
submit,10148
att,10142
purpose,10132
pick,10127
bottom,10091
maintenance,10082
origination,10066
updates,10055
separate,10034
asking,10031
gave,9987
018,9978
welcome,9959
dallas,9958
pjm,9951
search,9948
affiliate,9945
considered,9935
kathryn,9917
florida,9917
fastow,9904
azurix,9904
fully,9900
serif,9895
ancillary,9891
amendment,9868
hansen,9865
accounts,9851
avoid,9846
health,9843
nsfi,9841
cfm,9837
common,9833
ginger,9830
district,9817
keiser,9800
participation,9799
speak,9797
herein,9796
phase,9794
provisions,9782
rigzone,9766
reeves,9765
bit,9758
producers,9755
willing,9754
iepa,9751
closing,9743
blue,9733
alternative,9722
vicki,9717
survey,9717
lng,9712
mexico,9694
subscription,9687
phillips,9678
southwest,9672
victor,9668
continued,9652
nearly,9648
secretary,9638
environment,9636
football,9626
socal,9625
airlines,9615
dollar,9607
jerry,9603
cross,9577
boston,9571
travis,9567
dwr,9563
shively,9558
video,9557
accept,9544
microsoft,9543
sheri,9532
banks,9528
thinking,9523
words,9521
folks,9517
investigation,9513
megawatt,9508
chapman,9499
deliver,9493
purposes,9486
sellers,9481
molly,9475
financing,9457
benjamin,9456
guy,9450
subscribe,9446
julia,9437
northern,9433
failed,9422
louis,9420
govadv,9416
title,9414
item,9406
wireless,9401
dpc,9381
sense,9367
journal,9364
detail,9352
fill,9349
transport,9338
history,9336
released,9331
commime,9316
mcmahon,9296
margin,9291
generating,9282
primary,9282
giving,9281
advantage,9279
raise,9275
reviewed,9271
zone,9265
tech,9253
nation,9242
carrfut,9236
transition,9230
applicable,9229
joint,9228
conversation,9213
jacoby,9213
forms,9213
myself,9208
overall,9205
design,9197
ring,9191
grigsby,9182
becky,9176
partner,9168
eott,9165
offering,9163
llgm,9157
strategic,9154
alamo,9150
202,9149
bige01,9147
losses,9136
teams,9118
nice,9111
operator,9110
thus,9106
samuel,9102
ogden,9101
busy,9099
chronicle,9090
metals,9083
traded,9079
minute,9078
turbine,9075
ltd,9074
union,9055
standards,9044
forney,9043
continues,9040
outstanding,9040
calling,9038
bna,9034
began,9024
paying,9004
mar,8995
westdesk,8991
appear,8988
londonoutage,8983
registration,8979
ngo,8979
concerned,8978
broker,8976
anthony,8965
body,8959
christina,8958
restrictions,8951
wait,8949
partnerships,8948
brackett,8946
itself,8929
theresa,8928
continental,8926
bradley,8926
1998,8924
stated,8919
trust,8916
biggest,8913
jordan,8912
lynch,8900
txt,8883
mon,8881
exercise,8880
exposure,8876
choose,8869
div,8866
exmerge,8865
associates,8863
chad,8861
regional,8852
cellpadding,8836
games,8826
mwh,8824
profile,8822
commissioner,8816
station,8815
ventures,8815
claim,8815
guarantee,8811
contains,8810
relations,8798
campos,8795
borland,8794
ews,8791
throughout,8788
fell,8783
eastern,8776
beach,8770
deadline,8766
particular,8765
expressed,8764
despite,8763
initialize,8763
sincerely,8758
asap,8758
20enron,8754
2a04,8750
coral,8736
passed,8735
panel,8734
increases,8731
records,8712
wrong,8707
shelley,8705
morris,8704
var,8703
quite,8701
epenergy,8698
behind,8698
advice,8682
testing,8680
wrote,8674
express,8671
fwd,8670
henry,8667
explorer,8664
pressure,8663
delay,8660
town,8646
tonight,8628
400,8619
leadership,8612
marc,8604
approve,8601
415,8601
margaret,8599
jobs,8598
cause,8596
claims,8590
dporter3,8589
networks,8587
except,8571
cellspacing,8570
operational,8566
sen,8562
brief,8562
steps,8561
darron,8560
reflect,8560
leaving,8550
richter,8525
requires,8523
club,8513
goal,8511
designed,8507
1st,8501
marcus,8486
suggestions,8485
holding,8478
opening,8473
known,8473
pending,8469
kyle,8459
enjoy,8457
guaranty,8455
sept,8452
ets,8449
rohauer,8439
megawatts,8433
miss,8432
remaining,8420
calger,8420
hey,8420
cooper,8403
supplies,8401
planned,8393
prepare,8389
forster,8388
00pm,8371
campaign,8356
rich,8351
walton,8341
tamara,8337
congress,8334
huge,8333
individuals,8333
handle,8330
martha,8319
distributed,8282
sturm,8280
path,8279
outage,8274
murray,8273
bought,8265
knowledge,8263
wide,8261
conservation,8260
god,8249
detailed,8249
technologies,8248
lambert,8244
stevens,8240
greater,8234
20for,8217
noted,8216
parsing,8214
privacy,8212
evans,8208
aep,8208
legislative,8204
associate,8200
remains,8195
stack,8183
offices,8183
successful,8182
toward,8180
entry,8179
venturewire,8174
airport,8174
notified,8172
canadian,8169
horton,8159
150,8158
connection,8156
picture,8151
parent,8150
fletcher,8145
bin,8141
hyatt,8140
assist,8138
river,8137
verdana,8132
kmann,8132
auction,8131
relationship,8129
pages,8127
representative,8123
curve,8123
pro,8123
indian,8120
cases,8110
served,8110
palo,8108
40enron,8107
bay,8106
chuck,8096
spent,8085
assembly,8085
stories,8081
nor,8078
millions,8076
dfarmer,8070
patti,8051
benson,8043
stuff,8037
250,8030
anyway,8029
estimate,8027
specials,8024
merchant,8023
execution,8015
children,8013
improve,8007
imceanotes,8003
difference,8001
compliance,8000
statements,7995
seller,7988
ross,7985
controls,7975
assistant,7973
discount,7966
guess,7965
waiting,7965
brought,7957
hub,7956
valign,7954
ford,7943
developing,7936
ubs,7935
injury,7933
ways,7916
speed,7912
saw,7907
samantha,7903
charged,7902
mcvicker,7901
spend,7899
spreadsheet,7899
reservation,7899
documentation,7897
valley,7895
negotiations,7888
gregory,7887
dissemination,7884
invoice,7883
mills,7883
infrastructure,7879
seeing,7875
proceed,7873
badeer,7871
whitehead,7869
restructuring,7869
cent,7863
migration,7860
fpl,7859
decide,7857
yoder,7855
buyer,7855
particularly,7853
carrie,7849
lawner,7842
lokay,7839
leaders,7837
ext,7830
reduced,7829
concerning,7829
store,7828
carson,7818
purchased,7818
dernehl,7813
legislature,7812
immediate,7804
memory,7798
actions,7798
affiliates,7795
guerrero,7794
nuclear,7792
beverly,7783
produce,7782
interests,7780
often,7779
url,7777
patel,7774
expansion,7767
281,7764
sacramento,7763
secure,7762
flight,7761
travelocity,7760
sacks,7757
built,7757
alert,7751
wells,7748
selected,7745
roberts,7743
ercot,7742
herndon,7738
frevert,7734
darren,7733
english,7733
spring,7733
coast,7732
instructions,7732
road,7729
lees,7725
obligations,7721
sap,7720
iris,7719
positive,7718
happen,7715
nguyen,7713
yourself,7711
reasons,7709
developed,7695
seem,7689
helpful,7688
decisions,7687
seeking,7683
consent,7681
rhonda,7680
double,7678
growing,7674
lance,7671
panus,7669
fitzgerald,7664
sdg,7661
marsha,7656
engineering,7651
gen,7649
writing,7648
matters,7646
burns,7637
powermarketers,7637
reasonable,7629
risks,7629
sites,7616
claudia,7612
considering,7608
students,7606
missing,7605
break,7603
corman,7601
janel,7590
talks,7589
martinez,7584
denver,7582
dated,7581
sounds,7574
announcement,7566
flynn,7559
parks,7556
gonzalez,7556
minimum,7554
dorothy,7553
pgn,7551
letters,7550
commitment,7547
max,7544
continuing,7544
pipelines,7544
identify,7535
gay,7535
seattle,7532
20that,7530
baker,7522
fulton,7519
hayslett,7513
paragraph,7501
generator,7500
defense,7495
connie,7490
andersen,7480
loan,7477
consulting,7466
partnership,7461
acquisition,7456
exhibit,7451
direction,7451
